city,province,latitude,longitude
Naushahro Firoz,Sindh,,
Nawabshah,Sindh,26.245292,68.404023
Nawan Shahr,Khyber Pakhtunkhwa,,
New Mirpur,Azad Kashmir,33.141013,73.762810
Nowshera,Khyber Pakhtunkhwa,34.015561,71.981283
Nurkot,Punjab,32.203266,75.126526
Nushki,Balochistan,29.538808,66.022803
Okara,Punjab,30.809128,73.449330
Pabbi,Khyber Pakhtunkhwa,34.013374,71.780929
Pakpattan,Punjab,30.355016,73.395120
Panjgur,Balochistan,26.961607,64.115334
Parachinar,Khyber Pakhtunkhwa,33.896794,70.100056
Pasni,Balochistan,25.290431,63.344794
Pasrur,Punjab,32.263873,74.662699
Pattoki,Punjab,31.021171,73.852965
Peshawar,Khyber Pakhtunkhwa,34.012385,71.578746
Phalia,Punjab,32.432904,73.577159
Phularwan,Punjab,32.359884,73.010415
Pind Dadan Khan,Punjab,32.593949,73.045983
Pindi Bhattian,Punjab,31.900002,73.271377
Pishin,Balochistan,30.582866,66.996643
Qazi Ahmad,Sindh,26.301932,68.104409
Quetta,Balochistan,30.191627,67.000756
Rahimyar Khan,Punjab,28.417607,70.303651
Rangewala,Punjab,,
Ranipur,Sindh,27.262402,68.490446
Ratodero,Sindh,27.800724,68.288425
Rawalpindi,Punjab,33.603705,73.048313
Renala Khurd,Punjab,30.878251,73.599877
Risalpur Cantonment,Khyber Pakhtunkhwa,,
Rohri,Sindh,27.677654,68.912423
Roulia,Punjab,,
Rukan,Punjab,32.424221,73.271567
Sabaur,Punjab,,
Sadda,Khyber Pakhtunkhwa,33.706242,70.326753
Saddiqabad,Punjab,28.341977,70.184859
Safdarabad,Khyber Pakhtunkhwa,,
Safdarabad,Punjab,31.731323,73.577162
Sahiwal,Punjab,30.671510,73.111057
Saidpur,Islamabad,33.742496,73.069259
Saidu Sharif,Khyber Pakhtunkhwa,34.744733,72.356279
Sakrand,Sindh,26.136913,68.275200
Sambrial,Punjab,32.475648,74.352913
Samundri,Punjab,31.065143,72.958842
Sanghar,Sindh,26.047045,68.949240
Sangota,Khyber Pakhtunkhwa,34.793837,72.415519
Sarai Alamgir,Punjab,32.906775,73.749458
Sargodha,Punjab,32.083651,72.676461
Sarhari,Sindh,26.140028,68.620913
Sehwan,Sindh,26.425596,67.862564
Shabqadar,Khyber Pakhtunkhwa,34.214653,71.555925
Shah Latif Town,Sindh,24.846268,67.268094
Shahdadpur,Sindh,25.928124,68.631455
Shakargarh,Punjab,32.263148,75.160455
Shekhupura,Punjab,31.708528,73.986401
Shergarh,Punjab,31.970601,72.209606
Shujaabad,Punjab,30.167212,71.441109
Sialkot City,Punjab,32.493538,74.541157
Sillanwali,Punjab,31.826768,72.537007
Skardu,Gilgit-Baltistan,35.286372,75.640075
Sujawal,Sindh,24.603377,68.078900
Sukheke Mandi,Punjab,,
Sukkur,Sindh,27.696188,68.858875
Sultanpur Mor,Punjab,,
Surab,Balochistan,27.010790,64.174926
Surmon Chogga Grong,Gilgit-Baltistan,,
Swabi,Khyber Pakhtunkhwa,34.126214,72.474316
Talagang,Punjab,32.923511,72.413977
Talamba,Punjab,30.523923,72.406453
Talhar,Sindh,24.881266,68.814296
Tamman,Punjab,33.003357,72.099567
Tando Allahyar,Sindh,25.461991,68.719826
Tando Muhammad Khan,Sindh,25.122623,68.529911
Tank,Khyber Pakhtunkhwa,32.209692,70.388115
Taxila,Punjab,33.742279,72.814520
Thal,Khyber Pakhtunkhwa,33.070931,70.559196
Thari Mir Wah,Sindh,,
Thatta,Sindh,24.746900,67.924028
Timargara,Khyber Pakhtunkhwa,,
Toba Tek Singh,Punjab,30.977706,72.486080
Turbat,Balochistan,26.002789,63.050561
Uch Sharif,Punjab,29.238954,71.061480
Umarkot,Sindh,25.365530,69.740126
Usta Muhammad,Balochistan,28.177303,68.048807
Uthal,Balochistan,25.807193,66.621906
Vihari,Punjab,29.982250,72.320935
Wadala Sandhuan,Punjab,,
Wahga,Punjab,31.595018,74.556267
Washuk,Balochistan,,
Wazirabad,Punjab,32.441743,74.118212
Zafarwal,Punjab,32.342722,74.902003
Zhob,Balochistan,31.339706,69.447700
Ziarat,Balochistan,29.351221,66.607122
